C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 124, col 26, Warning - ValueSet https://build.fhir.org/valueset-encounter-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - The code 'Nurse' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - The code 'Nutritionist' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - The code 'Occupational_Therapist' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - The code 'Physiotherapists' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - The code 'Psychologists' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - The code 'Receptionist' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 1, col 2759, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (EXCEPTION)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-ethnicity-valueset.json: line 0, col 0, Warning - The code '80832-0' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-ethnicity-valueset.json: line 1, col 2980, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-gender-valueset.json: line 0, col 0, Warning - The code 'LA76696-4:' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-gender-valueset.json: line 1, col 2120, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '1' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Info - Error parsing response message: com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 12 path $ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '2' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '3' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '4' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '5' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '6' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '7' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '8' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '9' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '10' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '11' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '12' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '13' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '14' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '15' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '16' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '17' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '18' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '19' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '20' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '21' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '22' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '23' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '24' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '25' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '26' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '27' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '28' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '29' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '30' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - The code '31' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 1, col 3448, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-promis10-valueset.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://connect.ichom.org/patient-centered-outcome-measures/stroke (EXCEPTION)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '32697-1' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Info - Unknown Code '32697-1' in the system 'http://loinc.org'; The provided code http://loinc.org#32697-1 is not in the value set 'http://hl7.org/fhir/ValueSet/@all' (from Tx-Server) (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '32698-9' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '32699-7' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '32700-3' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '32701-1' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '8288-1' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '8310-3' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '8311-1' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '8320-2' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '8321-0' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 0, col 0, Warning - The code '32702-9' is not valid in the system http://loinc.org (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-race.json: line 1, col 2938, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-sex-valueset.json: line 0, col 0, Warning - The code '1' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-sex-valueset.json: line 0, col 0, Info - Error parsing response message: com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 12 path $ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-sex-valueset.json: line 0, col 0, Warning - The code '2' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-sex-valueset.json: line 0, col 0, Warning - The code '3' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-sex-valueset.json: line 0, col 0, Warning - The code '4' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-sex-valueset.json: line 1, col 1248, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-sex-valueset.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://connect.ichom.org/patient-centered-outcome-measures/stroke (EXCEPTION)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 1, col 3075, Warning - Rule cnl-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '1' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Info - Error parsing response message: com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 12 path $ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '2' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '3' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '4' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '5' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '6' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '7' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '8' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '9' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '10' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '11' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '12' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '13' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '14' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '15' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '16' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '17' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '18' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '19' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '20' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '21' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '22' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '23' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - The code '24' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 1, col 3075, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-vr12-valueset.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://connect.ichom.org/patient-centered-outcome-measures/stroke (EXCEPTION)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-whodas-valueset.json: line 0, col 0, Warning - Unknown System 'https://connect.ichom.org/patient-centered-outcome-measures/stroke' specified, so Concepts and Filters can't be checked (Details: The CodeSystem https://connect.ichom.org/patient-centered-outcome-measures/stroke is unknown (from Tx-Server)) (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-whodas-valueset.json: line 1, col 1411, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-whodas-valueset.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://connect.ichom.org/patient-centered-outcome-measures/stroke (EXCEPTION)

MolicAVC : Validation Results
=========================================

err = 105, warn = 417, info = 10
IG Publisher Version: 1.3.23 Out of date - current version is 1.4.0
Generated Tue Aug 29 02:46:33 BRT 2023. FHIR version 5.0.0 for guide#0.1.0 (canonical = https://molic-avc.gabriellesantosleandro.com)
